insert_date,close,scode,m1,m2,k0,k1,k2,k3,k4,k5,n0_ov,n0_lv,n1_lv,n1_hv,n1_ov,n1_cv,n2_lv,n2_ov,n2_cv,n2_hv,n3_lv,n3_ov,n3_cv,n3_hv,wc,wh,wl,wo,wcp,whp,wlp,wop
2018-01-03,359700,002917,7.05,7.05,1.39,11.21,0,9.42,9.42,-1.61,2.75,2.75,-10.01,0.08,0.08,-8.53,-7.87,-6.08,-5.02,-2.13,-1.86,-1.86,1.31,4,2.46,5.18,-0.74,-0.74,-3.77,-1.22,-6.78,-6.78
2018-01-03,315200,002864,12.61,8.69,4.6,9.65,6.55,9.29,2.57,-0.32,1.22,-2.3,-1.65,7.84,1.21,-1.33,-6.62,-4.86,-1.41,1.13,-2.84,-2.05,3.26,7.34,7,11.22,0.68,1.49,1.8,5.82,-4.21,-3.44
2018-01-03,387100,002915,13.82,11.88,2.12,6.89,1.61,6.4,4.71,-0.46,-1.68,-3.35,-10,-3.8,-5.32,-9.58,-6.29,-4.63,-4,0,-1.64,-1.64,4.94,9.82,5.63,10.55,-0.99,-0.99,0.74,5.43,-5.57,-5.57
2018-01-03,170300,000885,10.51,10.23,1.56,4.46,0.8,3.78,2.96,-0.65,-0.19,-0.45,-1.35,3.05,2.23,-0.7,-2.13,-0.3,4.08,8.46,-3.07,-1.42,1.76,8.24,6.23,12.99,1.19,2.91,5.91,12.66,0.89,2.6
2018-01-03,175100,600426,9.71,9.71,1.75,6.66,0.83,5.67,4.81,-0.93,0.25,0.25,-2.28,4.23,3.37,-1.37,-1.62,-0.64,3.53,3.93,-3.52,-1.9,-2.46,-0.28,1.57,3.84,0.47,2.15,0.92,3.18,-0.17,1.5
2018-01-03,80000,600802,10.19,9.59,2.73,6.54,3.29,6.14,2.76,-0.38,0.41,-0.14,-0.62,5.88,2.5,-0.25,-2.63,-0.38,3.88,6.39,-2.17,-1.45,-0.24,5.19,3.9,9.56,1.89,2.64,3.51,9.15,1.5,2.26
2018-01-03,67100,600353,10.54,9.82,1.04,3.98,1.34,3.66,2.29,-0.3,0.16,-0.49,-2.53,1.34,0,-2.24,-1.68,-0.3,-0.61,0.61,-2,-0.61,-0.31,0.15,-0.76,-0.31,-2.45,-1.07,-1.07,-0.61,-2.74,-1.37
2018-01-03,155400,600801,10.37,9.05,1.09,4.41,2.35,3.67,1.29,-0.71,0.85,-0.35,-0.77,3.6,1.22,-0.06,-1.42,-0.13,2.32,4.57,-1.76,-0.5,-1.39,2.96,1.03,5.48,0.65,1.94,0.9,5.35,0.52,1.8
2018-01-04,114000,600155,9.93,9.4,0.63,3.53,0.44,2.97,2.52,-0.54,0.58,0.1,-2.98,0.44,0,-2.46,-2.79,0,-0.09,1.26,-1.62,-0.45,0.54,1.71,0.45,1.62,-1.71,-0.54,0.45,1.62,-1.71,-0.54
2018-01-04,129400,002158,9.29,8.28,0.64,2.64,0,2.15,2.15,-0.48,1.62,0.68,-3.32,-0.77,-0.77,-2.86,-1.51,-0.8,0.64,2.23,-2.45,-1.11,-1.66,-0.55,-0.24,0.88,-1.04,0.32,-1.03,0.08,-1.83,-0.48
2018-01-04,110000,002350,10,10,0.46,3.81,0,2.83,2.83,-0.94,0,0,-4.55,-0.91,-0.91,-3.64,-2.74,-0.85,-1.79,-0.47,-1.06,0,0.1,1.15,-0.86,0.19,-2,-0.95,-1.7,-0.66,-2.83,-1.79
2018-01-04,85500,002542,9.2,8.23,0.46,5.54,1.39,3.3,1.88,-2.12,1.67,0.77,-2.81,2.57,1.17,-0.7,-3.3,-2.94,-1.3,0.59,-2.74,-0.36,-1.55,0.24,0.12,1.94,-1.09,1.33,-2.83,-1.06,-4,-1.65
2018-01-04,55300,000958,8.86,8.86,2.18,6.62,0,5.45,5.45,-1.09,0.99,0.99,-1.63,4.88,4.88,-0.54,-3.27,-2.36,-0.55,1.45,-1.83,-1.1,-1.28,-0.37,0.56,1.49,0,0.74,-1.82,-0.91,-2.36,-1.64
2018-01-04,98100,002494,9.61,9.61,0.54,3.81,0,2.94,2.94,-0.84,0.34,0.34,-3.67,0,0,-2.85,-1.89,-0.84,0.21,1.78,-1.78,-1.15,-0.84,0,0.21,1.06,-0.74,-0.11,-0.63,0.21,-1.57,-0.94
2018-01-04,255300,000923,8.41,7.22,1.65,5.16,2.9,4.41,1.47,-0.71,2.59,1.46,-2.04,3.02,0.12,-1.33,-2.66,-1.15,-1.11,1.27,-2.37,-0.44,-1.97,-0.44,-1.93,-0.4,-2.33,-0.4,-3.06,-1.55,-3.45,-1.55
2018-01-04,198000,000605,9.03,8.85,1.93,5.08,2.17,4.54,2.32,-0.52,1.06,0.89,-2.53,2.42,0.25,-2.02,-2.53,-1.29,-1.29,0.82,-1.57,-0.73,-0.1,0.47,-0.1,0.47,-1.57,-0.73,-1.39,-0.82,-2.84,-2.01
2018-01-04,171900,603616,8.11,8.11,2.61,7.06,2.19,6.43,4.15,-0.58,1.73,1.73,-1.11,5.88,3.61,-0.52,-3.39,-2.46,-1.76,1.11,-3.22,-1.13,-2.44,-0.71,-1.74,0,-2.52,-0.42,-4.15,-2.46,-4.92,-2.87
